ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,ADM2_PCODE,region_name,admin1_pcode,geometry,lon,lat
42,Balo-I Agro-Industrial Economic Zone,Agro-Industrial,Operating,"Barangay Maria Cristina, Balo-i, Lanao del Norte",Balo-i,Anao,PH036901000,Tarlac,PH036900000,Region III,PH030000000,"c(124.20396, 8.16604)",124.20396,8.16604
43,Batangas Racing Circuit Tourism Estate,Tourism,Operating,"Maligaya, Rosario, Batangas",Rosario,Rosario,PH160307000,Agusan del Sur,PH160300000,Region XIII,PH160000000,"c(121.2798695, 13.8108769)",121.2798695,13.8108769
44,Belle Grande Manila Bay,Tourism,Operating,"Aseana Business Park, Parañaque City",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.03084307711, 14.462886078226)",121.03084307711,14.462886078226
45,Benedicto I.T. Center,IT Center,Operating,"A.S. Fortune St., Bakilid, Mandaue City, Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000,"c(123.93833, 10.33583)",123.93833,10.33583
46,BGC Corporate Center,IT Center,Operating,"11th Avenue corner 30th Street, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.053434769182, 14.551000802103)",121.053434769182,14.551000802103
47,BGC Corporate Center 2,IT Center,Operating,"Block 1, 30th Street corner 5th Avenue, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
48,Bigfoot Information Technology Park,IT Park,Operating,"Barangay Mactan, Lapu-Lapu City, Island of Mactan",Island of Mactan,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000,"c(124.010877316435, 10.308930097409)",124.010877316435,10.308930097409
49,Blue Wave Marikina IT Center,IT Center,Operating,"Sumulong Highway cor. G. Fernando, Marikina City",Marikina City,City of Marikina,PH137402000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.10179441101, 14.635041996201)",121.10179441101,14.635041996201
50,Boracay Eco-Village Resort Tourism Economic Zone,Tourism,Operating,"Yapak, Boracay Island, Malay, Aklan",Aklan,Malay,PH060412000,Aklan,PH060400000,Region VI,PH060000000,"c(121.9145738, 11.9890985)",121.9145738,11.9890985
51,BPI Buendia Center,IT Center,Operating,"Sen. Gil Puyat Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.027206103696, 14.561780614697)",121.027206103696,14.561780614697
52,Bridgetowne (formerly Robinsons Business Park),IT Park,Operating,"Along C-5 Road, Ugong Norte, Quezon City",Ugong Norte,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.070455, 14.5978452)",121.070455,14.5978452
53,Brooke’s Point Agro-Industrial Economic Zone,Agro-Industrial,Operating,"Barangay Tubtub, Brooke’s Point, Palawan",Palawan,Brooke's Point,PH175306000,Palawan,PH175300000,Region IV-B,PH170000000,"c(117.804654774655, 8.777441324139)",117.804654774655,8.777441324139
54,BTTC Center,IT Center,Operating,"Lot 17, Block 12, Ortigas Avenue cor. Roosevelt Street, Barangay Greenhills, San Juan City",San Juan City,San Juan,PH140122000,Abra,PH140100000,Cordillera Administrative Region,PH140000000,"c(121.0483499, 14.6035528)",121.0483499,14.6035528
55,Bukidnon Agro-Resources Export Zone,Agro-Industrial,Operating,"Barangay Agusan Canyon, Manolo Fortich, Bukidnon",Manolo Fortich,Manolo Fortich,PH101314000,Bukidnon,PH101300000,Region X,PH100000000,"c(124.7993427, 8.3201012)",124.7993427,8.3201012
56,Burgundy Corporate Tower,IT Center,Operating,"252 Sen. Gil Puyat Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.027206103696, 14.561780614697)",121.027206103696,14.561780614697
57,C55 Realty Corp. Building,IT Center,Operating,"Barangay Matina Aplaya, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.57967, 7.04359)",125.57967,7.04359
58,Calamba Premiere International Park,Manufacturing,Operating,"Batino, Parian and Barandal, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.125916, 14.2006247)",121.125916,14.2006247
59,Camarines Sur Information Technology Park,IT Park,Operating,"Capitol Complex, Cadlan, Pili, Camarines Sur",Pili,Pili,PH051728000,Camarines Sur,PH051700000,Region V,PH050000000,"c(123.252264, 13.595887)",123.252264,13.595887
60,Candelaria Agri Special Economic Zone,Agro-Industrial,Operating,"Barangay Mangilag Sur, Candelaria, Quezon",Candelaria,Candelaria,PH045608000,Quezon,PH045600000,Region IV-A,PH040000000,"c(121.454851861504, 13.931041500981)",121.454851861504,13.931041500981
61,Capella IT Center,IT Center,Operating,"Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.03818957701, 14.419685610029)",121.03818957701,14.419685610029
62,Carmelray Industrial Park,Manufacturing,Operating,"Canlubang, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.077643, 14.1941922)",121.077643,14.1941922
63,Carmelray Industrial Park II,Manufacturing,Operating,"Punta & Tulo, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.1300426, 14.182214)",121.1300426,14.182214
64,Carmelray International Business Park,Manufacturing,Operating,"Canlubang, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.077643, 14.1941922)",121.077643,14.1941922
65,Carmen Cebu Gum Industrial Zone,Agro-Industrial,Operating,"Cogon West, Carmen, Cebu City",Carmen,Carmen,PH166806000,Surigao del Sur,PH166800000,Region XIII,PH160000000,"c(124.0155211, 10.5886914)",124.0155211,10.5886914
