ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,ADM2_PCODE,region_name,admin1_pcode,geometry,lon,lat
222,Maria Cristina Building,IT Center,Operating,"Along Osmeña Capitol Site, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.88934, 10.31642)",123.88934,10.31642
223,Market! Market!,IT Center,Operating,"Lot-C, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
224,Marvin Plaza Building,IT Center,Operating,"2153 Chino Roces Avenue corner Herrera Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.013595164294, 14.554982792845)",121.013595164294,14.554982792845
225,Matina IT Park,IT Park,Operating,"Mac Arthur Highway, Matina, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.580309649763, 7.05835631629)",125.580309649763,7.05835631629
226,McKinley Exchange Corporate Center,IT Center,Operating,"McKinley Road corner Epifanio Delos Santos Avenue (EDSA), Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.029402092579, 14.550029213796)",121.029402092579,14.550029213796
227,McKinley Hill Cyber Park,IT Park,Operating,"Fort Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
228,McKinley West,IT Park,Operating,"South Bonifacio District, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
229,MDC 100,IT Center,Operating,"E. Rodriguez Jr. Avenue (C-5 Road) cor. Eastwood Avenue, Barangay Bagumbayan, Quezon City",Barangay Bagumbayan,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.078624735157, 14.607326017975)",121.078624735157,14.607326017975
230,Mega One Bldg.(formerly PLDT Sampaloc Building),IT Center,Operating,"España Boulevard, Rotonda, Quezon City",Rotonda,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.001881058029, 14.617641749738)",121.001881058029,14.617641749738
231,Menarco Tower,IT Center,Operating,"Lot 8, Block 5, 32nd Street, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
232,MetroCas Industrial Estates-Special Economic Zone,Manufacturing,Operating,"Barangay Calibuyo, Tanza, Cavite",Tanza,Tanza,PH042120000,Cavite,PH042100000,Region IV-A,PH040000000,"c(120.803859026083, 14.355698701368)",120.803859026083,14.355698701368
233,Milestone at Fifth Avenue,IT Center,Operating,"Lot 2, Block 16, 4th and 5th Avenues, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
234,Millennium Industrial Economic Zone,Manufacturing,Operating,"Barangays Calumpang and Tambler, General Santos City, South Cotabato",General Santos City,General Santos City,PH126303000,South Cotabato,PH126300000,Region XII,PH120000000,"c(125.0807127, 6.0241739)",125.0807127,6.0241739
235,Misibis Resorts and Estates,Tourism,Operating,"Cagraray Island, Barangay Misibis, Bacacay, Albay",Bacacay,Bacacay,PH050501000,Albay,PH050500000,Region V,PH050000000,"c(123.9018294, 13.247069)",123.9018294,13.247069
236,MJ Corporate Plaza,IT Center,Operating,"2310 Pasong Tamo Extension, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.022833697974, 14.532785836855)",121.022833697974,14.532785836855
237,Monfort Information Technology Building,IT Center,Operating,"22nd Street, Lacson, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000,"c(122.956165853736, 10.683501710255)",122.956165853736,10.683501710255
238,Montage [formerly Abiathar Commercial Complex],IT Center,Operating,"Archbishop Reyes Avenue, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.903215091716, 10.319096795543)",123.903215091716,10.319096795543
239,MRI Ecozone,Manufacturing,Operating,"Sabang,  Danao  City, Cebu",Danao  City,Danao City,PH072223000,Cebu,PH072200000,Region VII,PH070000000,"c(124.0309784, 10.4967268)",124.0309784,10.4967268
240,MSE Center,IT Park,Operating,"Ayala Triangle, Ayala Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.02424, 14.55681)",121.02424,14.55681
241,Multinational Bancorporation Centre,IT Center,Operating,"6805 Ayala Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.017566761476, 14.559269381947)",121.017566761476,14.559269381947
242,Naga City Technology Park,IT Park,Operating,"Barangay Triangulo, Naga City",Naga City,Naga City,PH051724000,Camarines Sur,PH051700000,Region V,PH050000000,"c(123.186369176606, 13.618379855496)",123.186369176606,13.618379855496
243,Naga Valley Industrial Park,Manufacturing,Operating,"Barangay Cantao-an, Naga, Cebu",Naga,Naga City,PH051724000,Camarines Sur,PH051700000,Region V,PH050000000,"c(123.7604266, 10.2522157)",123.7604266,10.2522157
244,Negros First Cybercentre,IT Center,Operating,"Barangay 39, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000,"c(122.9455785, 10.6657479)",122.9455785,10.6657479
245,Neutrinus Information Technology Center,IT Center,Operating,"254 Magsaysay Avenue, Baguio City",Baguio City,Baguio City,PH141102000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,"c(120.594105285901, 16.427018648419)",120.594105285901,16.427018648419
246,New Jubilee Agro-Industrial Economic Zone,Agro-Industrial,Operating,"Barangay Hilapnitan, Municipality of Baybay, Province of Leyte",Municipality of Baybay,City of Baybay,PH083708000,Leyte,PH083700000,Region VIII,PH080000000,"c(124.7698, 10.7989)",124.7698,10.7989
247,Newport City CyberTourism Zone,Tourism,Operating,"Sales Road corner Andrews Avenue, Villamor Airbase, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.018736288426, 14.517091603259)",121.018736288426,14.517091603259
248,Nex Tower,IT Center,Operating,"6786 Ayala Avenue, Barangay San Lorenzo, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.021665910552, 14.55638630067)",121.021665910552,14.55638630067
249,Niscom IT Building,IT Center,Operating,"No. 41 Commonwealth Avenue, Barangay Holy Spirit, Quezon City",Barangay Holy Spirit,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.084692122095, 14.681075389951)",121.084692122095,14.681075389951
250,Northgate Cyber Zone,IT Park,Operating,"Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.03818957701, 14.419685610029)",121.03818957701,14.419685610029
251,NorthLuzon Aero Industrial Park,Manufacturing,Operating,"Barangay Linmansangan, Binalonan, Pangasinan",Binalonan,Binalonan,PH015512000,Pangasinan,PH015500000,Region I,PH010000000,"c(120.572394496797, 16.048648578943)",120.572394496797,16.048648578943
252,NYK-TDG I.T. Park,IT Park,Operating,"Knowledge Avenue, Carmel Town, Canlubang, Calamba City, Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.081563662349, 14.207932105803)",121.081563662349,14.207932105803
253,Oakridge I.T. Center Towers,IT Center,Operating,"A.S. Fortuna, Banilad, Mandaue City",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000,"c(123.914777757449, 10.343290200741)",123.914777757449,10.343290200741
254,Oakridge Information Technology Center,IT Center,Operating,"A.S. Fortuna Street, Banilad, Mandaue City",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000,"c(123.937400833007, 10.329503267751)",123.937400833007,10.329503267751
255,Octagon IT Center,IT Center,Operating,"San Miguel Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.059536214743, 14.580938024375)",121.059536214743,14.580938024375
256,Okada Resorts (formerly Eagle I Entertainment City),Tourism,Operating,"Barangays Tambo and Dongalo, Parañaque City",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(120.9922338, 14.5046791)",120.9922338,14.5046791
257,One Ayala Avenue,IT Center,Operating,"Epifanio Delos Santos Avenue corner Ayala Avenue, Barangay San Lorenzo, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.029110402348, 14.550341900694)",121.029110402348,14.550341900694
258,One Corporate Centre,IT Center,Operating,"Meralco Avenue corner Julia Vargas Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.063759178419, 14.584360399556)",121.063759178419,14.584360399556
259,One Felicity Center,IT Center,Operating,"Commonwealth Avenue, Barangay Holy Spirit, Quezon City",Barangay Holy Spirit,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.084692122095, 14.681075389951)",121.084692122095,14.681075389951
260,One Global Place,IT Center,Operating,"Lot 1, Bock 9, 5th Avenue corner 25th Street, Bonifacio South District, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
261,One Griffinstone,IT Center,Operating,"Commerce Ave. cor. Spectrum, Filinvest Corp. City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.036848622537, 14.41920358086)",121.036848622537,14.41920358086
262,One Julia Vargas Building,IT Center,Operating,"No.1 Julia Vargas Avenue corner Meralco Avenue, Barangay Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.063759178419, 14.584360399556)",121.063759178419,14.584360399556
263,One San Miguel Avenue Condominium,IT Center,Operating,"Shaw Boulevard corner San Miguel Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.057274435208, 14.578133483687)",121.057274435208,14.578133483687
264,One Sanparq,IT Center,Operating,"San Antonio Park Square, Lacson Street, Mandalagan, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000,"c(122.959698804893, 10.693421453257)",122.959698804893,10.693421453257
265,One World Place,IT Center,Operating,"Block 5, 32nd Street, City Center North, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
266,Orient Square IT Center,IT Center,Operating,"Along Emerald Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.0806429, 14.5598218)",121.0806429,14.5598218
267,Ortigas Technopoint Tower 1&2,IT Center,Operating,"No. 1, Doña Julia Vargas Street corner Meralco Avenue, Barangay Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.0929237, 14.5483004)",121.0929237,14.5483004
268,Pacific Information Technology Center,IT Center,Operating,"Pascor Drive, Brgy. Sto. Nino, Paranaque City",Paranaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(120.996887401976, 14.508769408084)",120.996887401976,14.508769408084
269,Pacific Star Building,IT Center,Operating,"Corners Sen. Gil Puyat and Makati Avenues, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.027675504343, 14.561250193306)",121.027675504343,14.561250193306
270,Palayan City Government Center & Central Business Hub,IT Park,Operating,"Barangay Singalat, Palayan City, Nueva Ecija",Nueva Ecija,Palayan City,PH034919000,Nueva Ecija,PH034900000,Region III,PH030000000,"c(121.09584142048, 15.571712635294)",121.09584142048,15.571712635294
271,Pamalican Island Tourism Ecozone,Tourism,Operating,"Barangay Manamok, Cuyo, Palawan",Palawan,Cuyo,PH175310000,Palawan,PH175300000,Region IV-B,PH170000000,"c(120.6902418, 11.3180781)",120.6902418,11.3180781
272,Pampanga Economic Zone,Manufacturing,Operating,"Barangay Pulong Maragul, Angeles City, Pampanga",Angeles City,Angeles City,PH035401000,Pampanga,PH035400000,Region III,PH030000000,"c(120.6252458, 15.1609007)",120.6252458,15.1609007
273,Pangasinan Industrial Park II,Manufacturing,Operating,"Alos, Alaminos &  Tagudin, Mabini, Pangasinan",Mabini,Mabini,PH118203000,Compostela Valley,PH118200000,Region XI,PH110000000,"c(119.9471451, 16.0723623)",119.9471451,16.0723623
274,PANORAMA,IT Center,Operating,"Block 9, City Center North, Fort Bonifacio, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.0422, 14.5272)",121.0422,14.5272
275,Panorama TechnoCenter,IT Center,Operating,"1029 EDSA, Veterans Village, Project 7, Quezon City",Project 7,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.022166079386, 14.65720865161)",121.022166079386,14.65720865161
276,PBCom Tower,IT Center,Operating,"Ayala Avenue cor. Herrera Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.018834859607, 14.558266780599)",121.018834859607,14.558266780599
277,PDC Information Techno Park,IT Park,Operating,"Barangay Tambubong, San Rafael, Bulacan",San Rafael,San Rafael,PH063042000,Iloilo,PH063000000,Region VI,PH060000000,"c(121.0398579, 14.9984073)",121.0398579,14.9984073
278,People's Technology Complex,Manufacturing,Operating,"Maduya, Carmona, Cavite",Carmona,Carmona,PH042104000,Cavite,PH042100000,Region IV-A,PH040000000,"c(121.0654542, 14.3187509)",121.0654542,14.3187509
279,Peoplesupport Center IT Building,IT Center,Operating,"Amorsolo Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.014100878782, 14.558467510136)",121.014100878782,14.558467510136
280,Phil. BXT Corp. Tourism Economic Zone,Tourism,Operating,"Barangay Maribago, Lapu-Lapu City",Lapu-Lapu City,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000,"c(123.992427359715, 10.285174160713)",123.992427359715,10.285174160713
281,Philamlife  I.T. Building,IT Center,Operating,"Acacia Avenue, Madrigal Business Park, Brgy. Ayala Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.021909507068, 14.419071038411)",121.021909507068,14.419071038411
282,Philamlife IT Tower,IT Center,Operating,"8767 Paseo de Roxas, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.021894421904, 14.557102073243)",121.021894421904,14.557102073243
283,Philippine Packing Agricultural Export Processing Zone,Agro-Industrial,Operating,"Bugo, Cagayan De Oro City",Cagayan De Oro City,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000,"c(124.7650316, 8.5061761)",124.7650316,8.5061761
284,Philplans Corporate Center,IT Center,Operating,"10th Avenue corner Kalayaan Avenue, Bonifacio Triangle, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.055899383992, 14.561059714556)",121.055899383992,14.561059714556
286,Pioneer House Cebu,IT Center,Operating,"Lot 8, Blk. 14, Cardinal Rosales Ave., Brgy. Mabolo, Cebu City",Brgy. Mabolo,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.92232, 10.32337)",123.92232,10.32337
287,Plastic Processing Center SEZ,Manufacturing,Operating,"Alion and Cabcaben, Mariveles, Bataan",Mariveles,Mariveles,PH030807000,Bataan,PH030800000,Region III,PH030000000,"c(120.5591509, 14.4602426)",120.5591509,14.4602426
288,Polaris Center,IT Center,Operating,"Spectrum Midway, Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.037770587039, 14.420822196427)",121.037770587039,14.420822196427
289,Pueblo de Oro IT Park,IT Park,Operating,"Pueblo Business Park, Barangay Upper Carmen, Cagayan de Oro City",Barangay Upper Carmen,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(124.63611, 8.47833)",124.63611,8.47833
290,Pueblo de Panay Technopark,IT Park,Operating,"Roxas City, Capiz",Capiz,Roxas City,PH061914000,Capiz,PH061900000,Region VI,PH060000000,"c(122.75111, 11.58528)",122.75111,11.58528
291,Q Plaza Building II,IT Center,Operating,"Tatlong Kawayan, Barangay Dela Paz, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.085748, 14.5715599)",121.085748,14.5715599
292,Quezon Agro-Industrial Zone,Agro-Industrial,Operating,"Barangay San Jose, Quezon, Bukidnon",Quezon,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(125.070979105569, 7.736116124699)",125.070979105569,7.736116124699
293,RBC Sheridan,IT Center,Operating,"Corner of United Street and Sheridan Street, Barangay Highway Hills, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.055840291574, 14.576458402246)",121.055840291574,14.576458402246
294,RCBC Plaza,IT Center,Operating,"Ayala Ave. cor. Gil Puyat Ave., Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.015521912377, 14.561355009005)",121.015521912377,14.561355009005
295,Rio Tuba Export Processing Zone,Manufacturing,Operating,"Rio Tuba, Bataraza, Palawan",Palawan,Bataraza,PH175305000,Palawan,PH175300000,Region IV-B,PH170000000,"c(117.4080605, 8.5566586)",117.4080605,8.5566586
296,Robinland IT/BPO Center,IT Center,Operating,"Zuellig Ave., Mandaue Reclamation Area, Mandaue City, Province of Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000,"c(123.92222, 10.32361)",123.92222,10.32361
297,Robinsons Big R Supercenter Cainta Junction,IT Center,Operating,"Ortigas Avenue Extension, Barangay Sto. Domingo, Cainta, Rizal",Cainta,Cainta,PH045805000,Rizal,PH045800000,Region IV-A,PH040000000,"c(121.114303463027, 14.586678648314)",121.114303463027,14.586678648314
298,Robinsons Cybergate Cebu,IT Center,Operating,"Don Gil Garcia Street, Barangay Capitol Site, Cebu City",Barangay Capitol Site,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.890508294507, 10.315277510319)",123.890508294507,10.315277510319
299,Robinsons Cybergate Center,IT Center,Operating,"Araneta Street, Singcang, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000,"c(122.939177554047, 10.65515292236)",122.939177554047,10.65515292236
300,Robinsons Cybergate Davao,IT Center,Operating,"J.P. Laurel Avenue, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.613141843149, 7.07771597599)",125.613141843149,7.07771597599
301,Robinsons Cybergate Naga,IT Center,Operating,"Naga Diversion Road corner Almeda Highway, Barangay Triangulo, Naga City",Naga City,Naga City,PH051724000,Camarines Sur,PH051700000,Region V,PH050000000,"c(123.2073292138, 13.609997248931)",123.2073292138,13.609997248931
302,Robinsons CyberPark,IT Park,Operating,"EDSA corner Pioneer Street, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.047228137519, 14.572498916915)",121.047228137519,14.572498916915
303,Robinsons Cyberpark Davao,IT Park,Operating,"J.P. Laurel Avenue, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.613141843149, 7.07771597599)",125.613141843149,7.07771597599
304,Robinsons Galleria Cebu,IT Center,Operating,"General Maxilom Avenue, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.911284475679, 10.305412841803)",123.911284475679,10.305412841803
305,Robinsons Luisita,IT Center,Operating,"McArthur Highway, San Miguel, Tarlac City, Tarlac",Tarlac City,City of Tarlac,PH036916000,Tarlac,PH036900000,Region III,PH030000000,"c(120.599452156864, 15.452784884358)",120.599452156864,15.452784884358
306,Robinsons Luisita 2,IT Center,Operating,"McArthur Highway, San Miguel, Tarlac City",San Miguel,San Miguel,PH166816000,Surigao del Sur,PH166800000,Region XIII,PH160000000,"c(120.599452156864, 15.452784884358)",120.599452156864,15.452784884358
307,Robinsons Luisita 3,IT Center,Operating,"McArthur Highway, San Miguel, Tarlac City",San Miguel,San Miguel,PH166816000,Surigao del Sur,PH166800000,Region XIII,PH160000000,"c(120.599452156864, 15.452784884358)",120.599452156864,15.452784884358
308,Robinsons Place Dasmariñas,IT Center,Operating,"Aguinaldo Highway corner Governor’s Drive, Sitio Pala-pala, Barangay Sampaloc, Dasmariñas, Cavite",Dasmariñas,City of Dasmariñas,PH042106000,Cavite,PH042100000,Region IV-A,PH040000000,"c(120.954069402513, 14.302172104037)",120.954069402513,14.302172104037
309,Robinsons Place Ilocos Norte Expansion,IT Center,Operating,"Valdez Compound, Barangay 1 San Francisco, San Nicolas, Ilocos Norte",Ilocos Norte,San Francisco,PH166719000,Surigao del Norte,PH166700000,Region XIII,PH160000000,"c(120.5934057, 18.1761155)",120.5934057,18.1761155
310,Robinsons Place Lipa,IT Center,Operating,"JP Laurel National Highway, Mataas na Lupa, Lipa City",Lipa City,Lipa City,PH041014000,Batangas,PH041000000,Region IV-A,PH040000000,"c(120.995665056422, 13.812823171028)",120.995665056422,13.812823171028
311,Robinsons Place Novaliches,IT Center,Operating,"1199 Quirino Highway corner Maligaya Road, Barangay Pasong Putik, Novaliches, Quezon City",Novaliches,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.059051231043, 14.73531638027)",121.059051231043,14.73531638027
312,Robinsons Place Otis (Manila Gas),IT Center,Operating,"Paz Mendiola Guanzon Street, Paco, Manila",Manila,Paco,PH133911000,"NCR, City of Manila, First District",PH133900000,National Capital Region,PH130000000,"c(120.997951526571, 14.588508326576)",120.997951526571,14.588508326576
313,Robinsons Place Sta. Rosa,IT Center,Operating,"Brgy. Tagapo, Sta. Rosa City, Laguna",Sta. Rosa City,Santa Rosa,PH034928000,Nueva Ecija,PH034900000,Region III,PH030000000,"c(121.102905947175, 14.318747609885)",121.102905947175,14.318747609885
314,Robinsons Summit Center,IT Center,Operating,"6783 Ayala Avenue, Salcedo Village, Barangay Bel-Air, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.020284452404, 14.55730061151)",121.020284452404,14.55730061151
315,Robinsons-Equitable Tower,IT Center,Operating,"ADB Avenue corner Poveda Street, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.059793867664, 14.589023692342)",121.059793867664,14.589023692342
316,Samar Agro-Industrial Economic Zone,Agro-Industrial,Operating,"Barangay Malajog, Tinambacan District, Calbayog City, Western Samar",Calbayog City,Calbayog City,PH086003000,Samar,PH086000000,Region VIII,PH080000000,"c(124.4831123, 12.1081565)",124.4831123,12.1081565
317,San Carlos Ecozone,Agro-Industrial,Operating,"Palampas and Punao, San Carlos City, Negros Occidental",San Carlos City,San Carlos City,PH064524000,Negros Occidental,PH064500000,Region VI,PH060000000,"c(123.4215299, 10.5020446)",123.4215299,10.5020446
318,San Carlos Ecozone II,Manufacturing,Operating,"Barangay Palampas, San Carlos City, Negros Occidental",San Carlos City,San Carlos City,PH064524000,Negros Occidental,PH064500000,Region VI,PH060000000,"c(123.4215299, 10.5020446)",123.4215299,10.5020446
319,San Lazaro Tourism and Business Park,Tourism,Operating,"Felix Huertas Street, Sta. Cruz, Manila",Manila,Santa Cruz,PH133905000,National Capital Region,PH133900000,National Capital Region,PH130000000,"c(120.98492939071, 14.623992489476)",120.98492939071,14.623992489476
320,Sanctuary IT Building,IT Center,Operating,"Mac Arthur Highway,Brgy. Nancayasan, Urdaneta City, Pangasinan",Urdaneta City,City of Urdaneta,PH015546000,Pangasinan,PH015500000,Region I,PH010000000,"c(120.5780724, 15.9408606)",120.5780724,15.9408606
321,Sarangani Economic Development Zone,Agro-Industrial,Operating,"Cannery, Polomolok, South Cotabato",Polomolok,Polomolok,PH126312000,South Cotabato,PH126300000,Region XII,PH120000000,"c(125.0618748, 6.2171632)",125.0618748,6.2171632
322,Scape,IT Center,Operating,"Macapagal Avenue cor. Pearl Drive, Central Business Park 1, Barangay 76, San Rafael, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(120.993034, 14.541526)",120.993034,14.541526
323,SDC IT Building,IT Center,Operating,"Dr. A. Santos Avenue cor. Soreena Avenue, Parañaque City",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.035593636816, 14.456591193777)",121.035593636816,14.456591193777
324,Seatrium Philippines Marine - SEZ [formerly Keppel Philippines Marine Special Economic Zone],Manufacturing,Operating,"Barangay San Miguel, Bauan, Batangas",Bauan,Bauan,PH041006000,Batangas,PH041000000,Region IV-A,PH040000000,"c(120.973855, 13.7825041)",120.973855,13.7825041
325,Shaw Center Mall,IT Center,Operating,"Shaw Boulevard cor. Nueve de Pebrero Street, Barangay Addition Hills, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.031367025605, 14.591639878264)",121.031367025605,14.591639878264001
326,Silver City,IT Center,Operating,"Frontera Verde Drive, Frontera Verde, Ortigas Avenue, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.0806429, 14.5598218)",121.0806429,14.5598218
327,Silver City 2 & 3,IT Center,Operating,"Along Frontera Verde Drive, Frontera Verde, E. Rodriguez Jr. Avenue, Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.0929237, 14.5483004)",121.0929237,14.5483004
328,Silver City 5 [formerly Transcom Center],IT Center,Operating,"C-5 corner Las Fiestas Road, Frontera Verde, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.079263873767, 14.586689617912)",121.079263873767,14.586689617912
329,Skytech IT Park (Mabalacat),IT Park,Operating,"Barangay Camachiles, Mabalacat, Pampanga",Mabalacat,Mabalacat City,PH035409000,Pampanga,PH035400000,Region III,PH030000000,"c(120.6223138, 15.1959995)",120.6223138,15.1959995
